날짜,요일,시간,,토론,긍부정여부,예측한 날,2,1
2020년 10월 23일 금요일,금요일,17,11,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,59,추세 하방,0,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,41,아니 다음 접속도 안되네..,0,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,40,팩트,0,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,33,급락,0,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,19,카카오 일기..,0,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,17,진득하게 있으세요,0,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,13,셀트와 판박이네,1,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,16,4,100만 소리 ㄴㄴ 18만감,1,2020년 10월 26일 월요일,,
2020년 10월 23일 금요일,금요일,8,59,10년이 걸리든 50만원까지 무조건 홀딩,0,2020년 10월 23일 금요일,,
2020년 10월 23일 금요일,금요일,8,21,"3,4분기 실적",1,2020년 10월 23일 금요일,,
2020년 10월 23일 금요일,금요일,7,37,"이 나라는, 자국민만 봉. 가봉개들이 어디서 감히 투자로 돈번다고?",1,2020년 10월 23일 금요일,,
2020년 10월 23일 금요일,금요일,6,6,김남국의 ‘팀킬 3종세트’…국감 최고의 귀요미!,1,2020년 10월 23일 금요일,,
2020년 10월 23일 금요일,금요일,2,22,손절.유영두,1,2020년 10월 23일 금요일,,
2020년 10월 24일 토요일,토요일,23,44,전문가의 카카오 분석,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,21,49,정치인을 법무장관에 앉힌 대통령이 더 문제,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,21,36,새로나온 카카오메일 PC버전 좋은 이유 3가지,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,21,34,증시 망가트리는 홍남기사퇴 강력청원합니다,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,18,35,언텍트주들 저번주부터 전부 하락시작,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,18,30,●●●차주 카카오는●●●,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,17,31,담 대선,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,16,45,형들 나 31 주 갖고있는 주린이인데,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,16,14,손절.유영두,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,8,55,'아직 카카오는' 목소리의 시작,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,8,53,청원글 -문재인 정부는 불통정부가 되려는건가?,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,8,48,단 번에는 민주당 절대 안 찍는다,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,7,36,33살에 1억 7천 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,6,21,지지선 320000원 여기가 무너지면 굉장히 위험 합니다,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,3,55,코스피가,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,2,22,물렸음 털고 KT 와라,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,1,17,밑에서 80프로 올라왔구만,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,0,53,개잡주~카카오~~,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,0,50,"OOO라 카카오~,",1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,23,44,전문가의 카카오 분석,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,21,49,정치인을 법무장관에 앉힌 대통령이 더 문제,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,21,36,새로나온 카카오메일 PC버전 좋은 이유 3가지,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,21,34,증시 망가트리는 홍남기사퇴 강력청원합니다,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,18,35,언텍트주들 저번주부터 전부 하락시작,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,18,30,●●●차주 카카오는●●●,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,17,31,담 대선,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,16,45,형들 나 31 주 갖고있는 주린이인데,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,16,14,손절.유영두,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,15,50,문재앙을 죽여야 나라 살린다!!,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,15,36,한전 거덜난것 다들 아시죠 주가... 개판임..진짜 3년만에,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,14,31,조정,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,14,12,교환사채 공시후 일부 유튜버에서는 호재라고,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,14,7,대주주 요건 3억 개미들 피똥싼다.,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,14,3,22년까지 매년 영업이익 50%씩 상승 될거라고보냐?,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,13,47,다음주 매수해도 될까요 ??,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,13,46,오배이락 인가? 이상하게도 카겜,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,13,3,이런자가 경제 수장 해임동참 합시다,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,12,45,카카오처물린 흑우들아 짖어라,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,12,43,월급쟁이와 가난뱅이가 부자되는 방법은 오로지 2가지 뿐,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,12,19,아 유앵두 영상을 보는게 아녔다,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,12,3,배당액 올린다는 이야기만 나와도,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,10,29,영두 말 믿고 산 흑우 없제?,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,10,8,[인문학사회분야에 철저하게배신당한 국민들],0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,8,55,'아직 카카오는' 목소리의 시작,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,8,53,청원글 -문재인 정부는 불통정부가 되려는건가?,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,8,48,단 번에는 민주당 절대 안 찍는다,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,7,36,33살에 1억 7천 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,6,21,지지선 320000원 여기가 무너지면 굉장히 위험 합니다,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,3,55,코스피가,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,2,22,물렸음 털고 KT 와라,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,1,17,밑에서 80프로 올라왔구만,0,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,0,53,개잡주~카카오~~,1,2020년 10월 26일 월요일,,
2020년 10월 24일 토요일,토요일,0,50,"OOO라 카카오~,",1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,23,54,카카오는,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,23,4,"누군가의 카카오, 어디까지 가봤니?",1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,21,23,국민은 원한다 홍남기 추미애 김현미사퇴,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,21,4,"운영자금 여러분들이여 3,400 억원 확보",0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,20,55,매번 개미 작살냈던 이것이. ..,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,20,54,35만원까지 내려온다 그랬는데 오바 했부렸네.....,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,20,51,■ 세월호특별법 개정안 입법청원 ■,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,19,39,100만 카카오 갑니다.,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,18,43,3억 대주주 최고낭패주 카카오,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,17,47,주식시장죽이는 홍남기해임청원!!!!!!!!!!!!!!,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,16,59,홍남기 해임 국민청원,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,7,9,얘는 계속 내려갈 듯,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,1,55,안녕하세요 형님들,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,23,54,카카오는,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,23,4,"누군가의 카카오, 어디까지 가봤니?",1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,21,23,국민은 원한다 홍남기 추미애 김현미사퇴,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,21,4,"운영자금 여러분들이여 3,400 억원 확보",0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,20,55,매번 개미 작살냈던 이것이. ..,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,20,54,35만원까지 내려온다 그랬는데 오바 했부렸네.....,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,20,51,■ 세월호특별법 개정안 입법청원 ■,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,19,39,100만 카카오 갑니다.,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,18,43,3억 대주주 최고낭패주 카카오,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,17,47,주식시장죽이는 홍남기해임청원!!!!!!!!!!!!!!,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,16,59,홍남기 해임 국민청원,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,14,33,청원글 -문재인 정부는 불통정부가 되려는건가?,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,13,34,외인들 빠져나가는거 보니...,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,13,17,이정도면 하락장 마감하고,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,13,3,개인수급이 절망이네요!,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,13,1,주목!!! - 펌글,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,12,25,★★팩트만 가지고 얘기 하자,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,12,8,이건희 별세,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,11,24,지인추천으로 왓는데,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,11,6,[주주 필독] 카카오 매도후 재진입 근거,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,10,56,대주주3억 되면 주식시장은 영원히 공매들의 놀이터가 됩니다.,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,10,46,국내 언텍 시장은 끝났다.,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,10,19,지금 매수해도 될까요 ??,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,10,7,홍남기 기재부 장관 해임을 강력히 요청합니다,1,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,9,35,카카오 주주는?,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,9,3,3억대주주요건 반대청원,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,7,9,얘는 계속 내려갈 듯,0,2020년 10월 26일 월요일,,
2020년 10월 25일 일요일,일요일,1,55,안녕하세요 형님들,0,2020년 10월 26일 월요일,,
2020년 10월 26일 월요일,월요일,23,53,국민은 원한다 친문(대깨문) 패거리정치 그만,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,23,21,나스닥폭락중,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,23,21,앵두형 잠수 탓네요,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,23,1,다우 나스닥 개박살,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,55,3억 대주주 막아주세요,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,53,다음 불매,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,47,얼마나 갈지 모르겠지만 확실한건,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,44,동학개미가 5백만이 넘는다는데,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,38,제3자 시각에서 본 유영두 회장과 카카오,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,33,공매도 대차상환에 발등에 불벼락 떨어져,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,32,"기호 1번 민주당 낙선운동...내년 서울시장, 대통령 선거. 대주주 양도세 포기",0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,22,18,영두 왠만함 사과한번은 해라,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,21,59,이거 20만원 이하간다 ~~코스피 코스닥 10월~11월초까지 개박살난다,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,21,58,단기 투자 할거면,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,21,15,유영두 잠수.??,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,21,7,제일 나쁜건 존리 아니냐,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,58,그냥주식하는 모든사람 홍남기 해임청원 동의만이 살길이다 진심으로,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,51,영두야,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,38,존리한테 속았 ㅜㅜ,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,37,존리한테 속았 ㅜㅜ,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,31,10억 현행유지 합의 했다며?,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,30,새로나온 카카오메일 PC버전 좋은 이유 3가지,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,26,낼 부터,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,5,"카카오 두고보는수밖에,",0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,2,카카오가 못간 이유...,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,20,1,앵두,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,45,주식하는 사람들중에 문재인 지지하는사람 있으면,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,41,오늘 수급을 확인해보니..,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,34,기다려~,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,33,본좌인 내가 보는 카카오,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,25,국가가 날강도 짓을 하다니!,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,24,유영두회장님 잠수탓나요?,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,18,도대체 왜? 이주식이 30만원이,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,15,주식 대주주양도세 청와대 청원입니다,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,12,내 지난 글을 보세요. 카카오게임즈 뭐라했습니까?,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,5,괴롭습다,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,19,1,33살에 1억 7천 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,18,34,팍팍~!!,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,18,33,유영두,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,18,7,차곡 차곡 떨어지네,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,18,6,아직 멀었어 30까지는 계속 떨어진다.,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,18,1,이쯤해서 계좌를 까주는게,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,58,대주주요건만 아니면 떨어질 이유없다.,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,54,떨이지는 주가 저점을 정확히 짚어서 들어가는건,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,44,내일더사야지,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,30,영두야,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,22,앵두 형 방송 보면서 샀는데,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,21,40만원대 샀는데 올까요 결정을 내리지 못햇더니,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,17,앵두할배,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,17,11,■ 세월호특별법 개정안 입법청원 ■,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,45,믿는주식해야함,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,40,40만원대 샀는데 올까요 결정을 내리지 못햇더니,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,38,너무걱정하지마라애들아,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,37,37만원 올까유??,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,35,Can you speak English? It's hard for foreigners,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,32,평단26만원 어케해야하나요??,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,15,여기 문빠들은 뭐하냐!!! 빨리 단체행동 해라,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,9,내 손가락을 잘라내고 싶당.ㅜㅜ,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,9,흑우들아 짖어라 연기금,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,7,개관들 다 던졌네,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,6,"현금 340,000,000,000 원 어디에 투자할 것인가",0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,2,조정 끝 일과시작,1,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,16,0,45조,0,2020년 10월 27일 화요일,,
2020년 10월 26일 월요일,월요일,8,55,본좌다,0,2020년 10월 26일 월요일,,
2020년 10월 26일 월요일,월요일,8,52,유튜버 영두 믿고 가즈아ㅎ,0,2020년 10월 26일 월요일,,
2020년 10월 26일 월요일,월요일,8,46,오늘도 ㅈ댐,0,2020년 10월 26일 월요일,,
2020년 10월 26일 월요일,월요일,8,29,암카오 부활,1,2020년 10월 26일 월요일,,
2020년 10월 26일 월요일,월요일,7,50,이번한주도,1,2020년 10월 26일 월요일,,
2020년 10월 26일 월요일,월요일,6,30,홍남기 해임청원,0,2020년 10월 26일 월요일,,
2020년 10월 27일 화요일,화요일,23,21,국민의힘에서 발의한 대주주10억 개정안 참여 부탁드립니다,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,23,11,카카오..,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,23,6,아마존 보합에도 상승했다. 아마존 오르는데???,0,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,22,28,야당찍기운동하면 됩니다,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,21,34,이런 개잡주를봤나,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,21,24,전망과 실력을 믿지 않지만 세력과 연관된,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,20,56,형이다 빨리 팔고 나와라,0,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,20,45,미래에서 왔습니다 2020.12.28 현재 주가 48만원입니다,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,20,27,"추경호 의원 발안, 소득세법 10억 현행유지 입법예고 동의입니다.",1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,20,9,"유툽, 리딩방 이딴거 믿는 새키들 제정신? ㅋㅋㅋㅋㅋ",1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,20,0,"누군가의 카카오, 어디까지 가봤니?",1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,19,7,카카오 주가 팩트 정리.,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,17,59,"현금 3,400억원 어디다가 쓰려고 하나",1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,17,43,내가 늘 얘기하지만 카카오는 떨어질때 줍줍해라,0,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,17,42,카카오페이 상장가치 10조원 입니다,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,17,41,그래도 희망을 가지는 이유,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,17,9,앵두 테마주,0,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,16,51,카카오뱅크 7500억 유상증자??,0,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,16,8,괜히 실탄 확보 했겠냐,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,16,6,김중근 모 유투버는 카카오 이제 끝났단다,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,16,4,주식으로 돈벌고 싶나요? 그럼 홍남기부터 청원하삼,1,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,16,0,유튜버 때매??,0,2020년 10월 28일 수요일,,
2020년 10월 27일 화요일,화요일,8,55,영두 어제 손절했대,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,52,빤쓰런 ㄱㄱ,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,48,아이린 광고 생각난다,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,46,영두 보고있나,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,44,부들부들 박살,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,41,여기 지옥인가요?,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,22,카카오 짱,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,20,언택트대장주 카카오입니다,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,8,10,기다리면 오르는주식 언택트대장주,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,7,50,진짜 요즘 너무 개떡폭락이다...,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,7,17,"다우, 나스닥, 유럽 떡 폭락",0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,6,52,아싸,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,6,44,간밤의 미국증시와 국내시황 보고드립니다.,0,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,4,10,와 20만원대 오겠네요,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,4,2,달도 차면 기우는 법,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,3,18,떨어지면 더사면 그만이죠,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,2,44,호재뉴스가 떳네요,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,2,2,홍남기때문에 인생 조진다,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,0,10,나스닥 개 폭락,1,2020년 10월 27일 화요일,,
2020년 10월 27일 화요일,화요일,0,9,주가 하락의 원인 같이 해결해요,0,2020년 10월 27일 화요일,,
2020년 10월 28일 수요일,수요일,23,54,이정도 유럽 미국 폭락이면,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,23,41,내일 장이 겁나네...,0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,23,33,종목토론방인데....,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,23,19,내일 아무래도 보합 내지는 상승,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,23,7,미쳤다 아마존 7% 폭락..,0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,22,52,혹시 ... 그런 생각 안해 봤나요?,0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,22,3,청와대 국민 청원에 꼭 참여해야 할 청원이 있습니다.,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,19,59,홍남기 해임청원♥♥♥,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,19,48,새로나온 카카오메일 PC버전 좋은 이유 3가지,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,19,39,단일가 하락,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,19,39,29만원에 입벌리고 있습니다...이번주 도달하나요?,0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,19,30,유럽주식이,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,19,28,담아라 이번년도 마지막 기회다.,0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,19,26,개미지옥,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,18,16,오늘 익절하기 잘 했네.,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,18,13,새로산 식기는 깨끗하게씻은후 사용하자,1,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,18,8,현찰로 산사람은,0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,17,49,니들은 계속 떠들어라,0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,17,43,"유럽 폭락, 미 선물 내리막",0,2020년 10월 29일 목요일,,
2020년 10월 28일 수요일,수요일,17,37,시외 떡락~~~~,0,2020년 10월 29일 목요일,,
